,price,year,dong,area,region_code,per_price
0,"6,900",2012,서귀동,26.88,50130,256.69642857142856
1,"16,000",2012,서귀동,84.71,50130,188.8797072364538
2,"9,200",2012,서귀동,74.1,50130,124.1565452091768
3,"18,800",2012,동홍동,84.7459,50130,221.8396406197822
4,"4,800",2012,동홍동,49.87,50130,96.25025065169442
5,"8,900",2012,동홍동,58.8,50130,151.36054421768708
6,"5,600",2012,동홍동,39.69,50130,141.09347442680777
7,"9,000",2012,동홍동,49.87,50130,180.46921997192703
8,"11,800",2012,동홍동,68.7117,50130,171.7320339912999
9,"6,250",2012,동홍동,39.3,50130,159.03307888040715
10,"5,900",2012,동홍동,39.69,50130,148.65205341395819
11,"10,500",2012,동홍동,77.92,50130,134.75359342915812
12,"10,500",2012,동홍동,68.7117,50130,152.8124031278516
13,"9,500",2012,동홍동,71.86,50130,132.20150292234902
14,"9,700",2012,동홍동,81.15,50130,119.5317313616759
15,"5,200",2012,동홍동,39.69,50130,131.01536911060722
16,"7,500",2012,동홍동,49.87,50130,150.3910166432725
17,"13,500",2012,동홍동,84.42,50130,159.9147121535181
18,"6,000",2012,동홍동,54.21,50130,110.68068622025456
19,"17,700",2012,서홍동,84.75,50130,208.8495575221239
20,"17,200",2012,서홍동,84.75,50130,202.94985250737463
21,"19,500",2012,서홍동,83.9028,50130,232.4117907864815
22,"5,900",2012,서홍동,27.86,50130,211.77315147164393
23,"17,400",2012,서홍동,84.75,50130,205.30973451327435
24,"11,800",2012,서홍동,84.69,50130,139.3316802456016
25,"17,400",2012,서홍동,84.75,50130,205.30973451327435
26,"6,100",2012,서홍동,27.86,50130,218.9519023689878
27,"17,200",2012,서홍동,84.75,50130,202.94985250737463
28,"17,700",2012,서홍동,84.75,50130,208.8495575221239
29,"7,500",2012,보목동,84.24,50130,89.03133903133903
30,"2,500",2012,보목동,35.28,50130,70.86167800453515
31,"7,500",2012,보목동,83.7,50130,89.60573476702508
32,"7,150",2012,보목동,83.7,50130,85.42413381123058
33,"17,000",2012,토평동,84.66,50130,200.80321285140562
34,"9,200",2012,중문동,84.54,50130,108.82422521883132
35,"9,850",2012,중문동,84.54,50130,116.5128933049444
36,"5,370",2012,중문동,63.79,50130,84.18247374196582
37,"13,600",2012,중문동,59.99,50130,226.70445074179028
38,"10,500",2012,중문동,71.76,50130,146.3210702341137
39,"16,000",2012,중문동,73.58,50130,217.45039412883938
40,"11,050",2012,중문동,51.88,50130,212.99151888974555
41,"13,500",2012,중문동,59.99,50130,225.03750625104183
42,"6,800",2012,중문동,53.8513,50130,126.27364613296243
43,"14,300",2012,중문동,71.76,50130,199.27536231884056
44,"12,200",2012,중문동,51.88,50130,235.1580570547417
45,"7,300",2012,중문동,59.7,50130,122.27805695142378
46,"6,500",2012,강정동,25.78,50130,252.133436772692
47,"3,800",2012,강정동,15.86,50130,239.59646910466583
48,"3,520",2012,강정동,15.86,50130,221.94199243379572
49,"3,630",2012,강정동,15.86,50130,228.87767969735182
50,"7,000",2012,하원동,49.8737,50130,140.35453555681653
51,"6,500",2012,하원동,59.4853,50130,109.27069376804016
52,"6,000",2012,하원동,49.8737,50130,120.30388762012845
53,"6,800",2012,하원동,49.8737,50130,136.3444059694789
54,"13,000",2012,대정읍 하모리,80.66,50130,161.17034465658318
55,"6,500",2012,대정읍 하모리,78.53,50130,82.77091557366612
56,"3,930",2012,남원읍 남원리,40,50130,98.25
57,"4,450",2012,남원읍 남원리,40,50130,111.25
58,"14,200",2012,남원읍 남원리,84.34,50130,168.36613706426368
59,"5,621",2012,성산읍 시흥리,47.1662,50130,119.17432398624437
60,"6,200",2012,성산읍 고성리,59.8944,50130,103.51552064967677
61,"4,500",2012,성산읍 고성리,49.4367,50130,91.02549320646402
62,"3,700",2012,성산읍 고성리,41.86,50130,88.38987099856665
63,"5,200",2012,성산읍 고성리,49.4367,50130,105.18501437191398
64,"4,352",2012,표선면 표선리,35.95,50130,121.05702364394992
65,"6,360",2012,표선면 표선리,55.81,50130,113.95807203010213
66,"7,000",2012,표선면 표선리,59.58,50130,117.48909029875797
67,"4,352",2012,표선면 표선리,35.95,50130,121.05702364394992
